scan_stamp,callback_now,tf_stamp,dt_scan_tf,dt_scan_now,pending_age,d,sonar_tx,sonar_ty,sonar_tz,sonar_qx,sonar_qy,sonar_qz,sonar_qw,wx,wy,wz,j_xm540_joint_z,j_xm540_joint,j_joint_boat_x,j_joint_boat_y,js_stamp
1777068394.2758648,1777068394.3056185,1777068394.2758648,0.0,0.029753684997558594,0.013760704998276196,2.0420806407928467,-0.26640069310921893,9.985684861267206,-0.32449997876878306,-0.7071042698511831,4.214374232174483e-06,0.7071092924965686,2.3380261660097258e-06,-0.2664151982234858,9.985679442557272,-2.366580619502925,9.266484084946569e-06,-8.122720828396268e-06,-0.266400009393692,9.993685722351074,1777068394.2758648
1777068394.3371184,1777068394.355855,1777068394.3371184,0.0,0.018736600875854492,0.014797561001614667,2.0414505004882812,-0.266400693146973,10.035684098327755,-0.32449997876878284,-0.7071042697537516,4.2143742318523295e-06,0.7071092925939995,2.338026166590417e-06,-0.2664151943478634,10.035678681289918,-2.365950479198373,9.266484084946569e-06,-8.122996405290905e-06,-0.266400009393692,10.043684959411621,1777068394.3371184
1777068394.3892434,1777068394.4417233,1777068394.3892434,0.0,0.05247998237609863,0.04641283000091789,2.0410945415496826,-0.2664006931844778,10.085683335388302,-0.3244999787687827,-0.7071042696569634,4.214374231532304e-06,0.707109292690787,2.338026167167276e-06,-0.2664151924156215,10.085677919295016,-2.365594520259781,9.266484084946569e-06,-8.123270163196139e-06,-0.266400009393692,10.093684196472168,1777068394.3892434
1777068394.443929,1777068394.4554121,1777068394.443929,0.0,0.011483192443847656,0.006577795000339393,2.041090965270996,-0.26640069322210724,10.135682572448848,-0.32449997876878256,-0.7071042695598534,4.2143742312112145e-06,0.7071092927878964,2.3380261677460523e-06,-0.26641519298846794,10.135677156365057,-2.36559094398109,9.266484084946569e-06,-8.123544830596074e-06,-0.266400009393692,10.143683433532715,1777068394.443929
1777068394.4956558,1777068394.5055058,1777068394.4956558,0.0,0.009850025177001953,0.0063619370048400015,2.041006088256836,-0.2664006932586154,10.185681809509395,-0.3244999787687824,-0.7071042694656372,4.214374230899693e-06,0.7071092928821118,2.3380261683075813e-06,-0.26641519296590793,10.185676393650832,-2.3655060669669283,9.266484084946569e-06,-8.123811312543694e-06,-0.266400009393692,10.193682670593262,1777068394.4956558
1777068394.550435,1777068394.6056533,1777068394.550435,0.0,0.05521821975708008,0.04981947199848946,2.0395123958587646,-0.2664006932961202,10.235681046569942,-0.32449997876878217,-0.7071042693688487,4.214374230579665e-06,0.7071092929788997,2.3380261688844404e-06,-0.26641518295026273,10.235675634674934,-2.364012374568896,9.266484084946569e-06,-8.124085070448928e-06,-0.266400009393692,10.243681907653809,1777068394.550435
1777068394.6015527,1777068394.6061556,1777068394.6015527,0.0,0.004602909088134766,0.00037772199721075594,2.037485361099243,-0.26640069333275274,10.28568028363049,-0.32449997876878206,-0.7071042692743116,4.214374230267083e-06,0.7071092930734362,2.338026169447883e-06,-0.26641516913069246,10.285674877114273,-2.361985339809429,9.266484084946569e-06,-8.124352461891249e-06,-0.266400009393692,10.293681144714355,1777068394.6015527
1777068394.6531963,1777068394.7054706,1777068394.6531963,0.0,0.052274227142333984,0.04890239400265273,2.0362300872802734,-0.2664006933700084,10.335679520691038,-0.32449997876878184,-0.7071042691781663,4.214374229949182e-06,0.7071092931695807,2.338026170020909e-06,-0.26641516080328775,10.335674117505723,-2.360730065990491,9.266484084946569e-06,-8.124624400807079e-06,-0.266400009393692,10.343680381774902,1777068394.6531963
1777068394.7125556,1777068394.7554808,1777068394.7125556,0.0,0.042925119400024414,0.039413860999047756,2.0341639518737793,-0.2664006934065164,10.385678757751585,-0.3244999787687817,-0.7071042690839504,4.214374229637661e-06,0.7071092932637959,2.3380261705824353e-06,-0.26641514670195243,10.385673360048814,-2.3586639305840524,9.266484084946569e-06,-8.124890882754698e-06,-0.266400009393692,10.39367961883545,1777068394.7125556
1777068394.765226,1777068394.8052592,1777068394.765226,0.0,0.04003334045410156,0.03392488899407908,2.033205270767212,-0.2664006934436474,10.435677994812131,-0.32449997876878156,-0.7071042689881267,4.214374229320824e-06,0.7071092933596189,2.3380261711535455e-06,-0.26641514047844844,10.43567259965325,-2.357705249477508,9.266484084946569e-06,-8.125161912175827e-06,-0.266400009393692,10.443678855895996,1777068394.765226
1777068394.8160026,1777068394.8554595,1777068394.8160026,0.0,0.039456844329833984,0.03592419799679192,2.032278537750244,-0.26640069348003087,10.485677231872678,-0.3244999787687814,-0.7071042688942322,4.214374229010367e-06,0.7071092934535127,2.338026171713157e-06,-0.2664151344696049,10.48567183917291,-2.3567785164605635,9.266484084946569e-06,-8.125427484628744e-06,-0.266400009393692,10.493678092956543,1777068394.8160026
